checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,partition_block_size,partition_chunk,partition_schedule,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,608606743.764356,0.164310,1000000,50000000,50000000,2,32768,0,auto,2,64,287155625.108498,0.348243,0.515964,193812042.211568
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,593647160.178242,0.168450,1000000,50000000,50000000,4,32768,0,auto,2,64,296581578.699620,0.337175,0.509101,196424715.503319
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,607134104.813512,0.164708,1000000,50000000,50000000,2,32768,0,auto,2,64,289274423.905093,0.345693,0.513686,194671508.966731
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,617028249.794016,0.162067,1000000,50000000,50000000,4,32768,0,auto,2,64,283944246.554769,0.352182,0.517376,193283158.305453
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,593532123.822749,0.168483,1000000,50000000,50000000,2,32768,0,auto,4,64,289619200.623665,0.345281,0.517278,193319654.389537
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,604774401.181200,0.165351,1000000,50000000,50000000,4,32768,0,auto,4,64,299385200.455581,0.334018,0.502610,198961274.709038
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,588611524.925447,0.169891,1000000,50000000,50000000,2,32768,0,auto,4,64,292482237.020116,0.341901,0.515217,194092809.284868
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,620332908.385927,0.161204,1000000,50000000,50000000,4,32768,0,auto,4,64,284099636.034307,0.351989,0.516289,193690122.148135
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,490685107.555430,0.203797,1000000,50000000,50000000,2,32768,0,auto,2,64,277761932.285598,0.360021,0.566989,176370255.132592
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,512893725.298993,0.194972,1000000,50000000,50000000,4,32768,0,auto,2,64,277919204.277055,0.359817,0.558449,179067540.097542
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,511979102.415482,0.195320,1000000,50000000,50000000,2,32768,0,auto,2,64,278688575.921290,0.358823,0.557362,179416462.206927
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,497920124.387909,0.200835,1000000,50000000,50000000,4,32768,0,auto,2,64,277796127.079329,0.359976,0.564001,177304695.396982
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,495943291.091345,0.201636,1000000,50000000,50000000,2,32768,0,auto,4,64,276998358.898312,0.361013,0.565796,176742243.075725
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,507916127.179553,0.196883,1000000,50000000,50000000,4,32768,0,auto,4,64,278617571.365849,0.358915,0.558892,178925376.023768
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,516340362.078748,0.193671,1000000,50000000,50000000,2,32768,0,auto,4,64,291277982.186776,0.343315,0.540181,185123107.916227
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,494738031.740883,0.202127,1000000,50000000,50000000,4,32768,0,auto,4,64,276149317.134055,0.362123,0.567389,176245973.895772
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,561712466.063677,0.178027,1000000,50000000,50000000,2,32768,0,auto,2,64,291967832.657616,0.342503,0.523852,190893710.944894
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,585840742.072264,0.170695,1000000,50000000,50000000,4,32768,0,auto,2,64,295964375.182541,0.337879,0.511747,195409131.108461
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,438456994.650813,0.228073,1000000,50000000,50000000,2,32768,0,auto,2,64,287763413.733717,0.347508,0.578941,172729292.042947
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,585191891.863846,0.170884,1000000,50000000,50000000,4,32768,0,auto,2,64,288561944.663516,0.346546,0.520657,192065056.062817
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,520013257.424267,0.192303,1000000,50000000,50000000,2,32768,0,auto,4,64,285024545.823897,0.350847,0.546287,183054021.087561
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,411073003.231612,0.243266,1000000,50000000,50000000,4,32768,0,auto,4,64,297853713.735788,0.335735,0.582277,171739566.166510
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,558242720.989791,0.179134,1000000,50000000,50000000,2,32768,0,auto,4,64,292508071.758706,0.341871,0.524301,190730009.371110
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,443229423.851767,0.225617,1000000,50000000,50000000,4,32768,0,auto,4,64,297703519.605208,0.335905,0.564739,177072892.659536
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,587011971.888027,0.170354,1000000,50000000,50000000,2,32768,0,auto,2,64,288383192.505829,0.346761,0.520500,192123003.861234
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,592401686.391618,0.168804,1000000,50000000,50000000,4,32768,0,auto,2,64,296018132.531317,0.337817,0.509860,196132117.690118
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,575125992.518351,0.173875,1000000,50000000,50000000,2,32768,0,auto,2,64,285566960.649730,0.350181,0.527187,189686154.478952
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,622524261.730754,0.160636,1000000,50000000,50000000,4,32768,0,auto,2,64,289235244.607200,0.345739,0.509744,196176918.941685
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,591262744.638166,0.169130,1000000,50000000,50000000,2,32768,0,auto,4,64,297301643.982764,0.336359,0.508816,196534566.317950
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,566532443.226659,0.176512,1000000,50000000,50000000,4,32768,0,auto,4,64,297507518.858449,0.336126,0.515805,193871826.236712
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,592988916.194783,0.168637,1000000,50000000,50000000,2,32768,0,auto,4,64,296294649.287668,0.337502,0.509284,196354093.926712
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,621252681.749109,0.160965,1000000,50000000,50000000,4,32768,0,auto,4,64,297983526.307316,0.335589,0.500039,199984432.478618
