checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,partition_block_size,partition_chunk,partition_schedule,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,210293433.009491,0.475526,1000000,50000000,50000000,2,32768,0,auto,2,64,288003839.429541,0.347218,0.825927,121076095.864339
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,209491855.495560,0.477346,1000000,50000000,50000000,4,32768,0,auto,2,64,296051448.974916,0.337779,0.818209,122218159.091190
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,111418835.427249,0.897514,1000000,50000000,50000000,2,32768,0,auto,2,64,294331500.817166,0.339753,1.240793,80593617.891606
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,105788328.190837,0.945284,1000000,50000000,50000000,4,32768,0,auto,2,64,288295768.025935,0.346866,1.295645,77181631.271626
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,203787864.386674,0.490706,1000000,50000000,50000000,2,32768,0,auto,4,64,281692585.117850,0.354997,0.848773,117817188.869049
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,211547448.813895,0.472707,1000000,50000000,50000000,4,32768,0,auto,4,64,284195043.086176,0.351871,0.827540,120840065.690859
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,107354621.529120,0.931492,1000000,50000000,50000000,2,32768,0,auto,4,64,293519866.302959,0.340692,1.275520,78399399.229171
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,112121068.210251,0.891893,1000000,50000000,50000000,4,32768,0,auto,4,64,283660370.407285,0.352534,1.247863,80137032.944195
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,379297843.431158,0.263645,1000000,50000000,50000000,2,32768,0,auto,2,64,288038877.966354,0.347175,0.614095,162841307.895049
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,377877821.152597,0.264636,1000000,50000000,50000000,4,32768,0,auto,2,64,287606980.700863,0.347697,0.615632,162434712.699328
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,189166585.103463,0.528635,1000000,50000000,50000000,2,32768,0,auto,2,64,291801806.649441,0.342698,0.874620,114335348.792756
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,197109263.389759,0.507333,1000000,50000000,50000000,4,32768,0,auto,2,64,296750445.807547,0.336983,0.847370,118012258.675925
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,354754610.295517,0.281885,1000000,50000000,50000000,2,32768,0,auto,4,64,287619646.130129,0.347681,0.632891,158005111.555416
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,357128548.990108,0.280011,1000000,50000000,50000000,4,32768,0,auto,4,64,287928790.842611,0.347308,0.630676,158559994.756634
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,198818653.247163,0.502971,1000000,50000000,50000000,2,32768,0,auto,4,64,291701858.788656,0.342816,0.849059,117777461.318253
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,189638703.119746,0.527319,1000000,50000000,50000000,4,32768,0,auto,4,64,297051098.246179,0.336642,0.867013,115338528.802429
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,476529311.034068,0.209851,1000000,50000000,50000000,2,32768,0,auto,2,64,290409876.924452,0.344341,0.557379,179411286.691504
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,476461738.502069,0.209880,1000000,50000000,50000000,4,32768,0,auto,2,64,277661839.619438,0.360150,0.573619,174331667.936790
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,494387456.299039,0.202271,1000000,50000000,50000000,2,32768,0,auto,2,64,288833169.239874,0.346221,0.552148,181111004.742316
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,471034231.383147,0.212299,1000000,50000000,50000000,4,32768,0,auto,2,64,289581089.978631,0.345326,0.561209,178186682.704359
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,493876730.078883,0.202480,1000000,50000000,50000000,2,32768,0,auto,4,64,278130777.846647,0.359543,0.565693,176774387.973680
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,516705080.463011,0.193534,1000000,50000000,50000000,4,32768,0,auto,4,64,289844216.462098,0.345013,0.542117,184462005.571061
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,518246691.029410,0.192958,1000000,50000000,50000000,2,32768,0,auto,4,64,291623597.211239,0.342908,0.539472,185366565.896002
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,488603830.781492,0.204665,1000000,50000000,50000000,4,32768,0,auto,4,64,289612385.711407,0.345289,0.553149,180783064.011912
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,204399433.437577,0.489238,1000000,50000000,50000000,2,32768,0,auto,2,64,291534802.061961,0.343012,0.835484,119691114.292306
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,205023440.386699,0.487749,1000000,50000000,50000000,4,32768,0,auto,2,64,296034811.036405,0.337798,0.829052,120619679.308884
